organisation_id,organisation_name,total_courses,pct_undergraduate,pct_postgraduate,pct_vet_vocational,pct_secondary,faculty_count,avg_domestic_fee,min_domestic_fee,max_domestic_fee,free_tafe_count,avg_ielts_requirement,pct_courses_with_ielts,courses_with_atar,atar_min,atar_max,atar_median,pct_with_alternate_entry,career_diversity,top_5_careers,top_anzsco_group,top_anzsco_group_pct,stem_career_pct,health_career_pct,education_career_pct,business_finance_career_pct
67375,1 SDO TRAINING PTY LTD,14,0.0,7.1,14.3,0.0,1,95.0,95.0,95.0,0,,0.0,0,,,,0.0,7,Occupational Health and Safety Officer | Paramedic | Electrician | Interpreter | Nurse - Registered,Professionals,60.0,6.7,80.0,0.0,0.0
85763,1 Stop Training Centre Pty Ltd,2,0.0,0.0,0.0,0.0,0,8485.0,550.0,16420.0,0,,0.0,0,,,,0.0,2,Farmer | Mobile Plant Operator,Managers,50.0,0.0,0.0,0.0,0.0
84912,18fifty3 Training,3,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,0,,,,,,,
17657,4 Up Skilling Pty Ltd,7,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,1,General Manager,Managers,100.0,0.0,0.0,0.0,0.0
18017,5 Star Online Training,5,0.0,0.0,20.0,0.0,1,,,,0,,0.0,0,,,,0.0,1,Sales Assistant,Sales Workers,100.0,0.0,0.0,0.0,0.0
16523,5 Star Training & Consulting Pty Ltd,1,0.0,0.0,0.0,0.0,0,1800.0,1800.0,1800.0,0,,0.0,0,,,,0.0,1,Bicycle Technician,Labourers,100.0,0.0,0.0,0.0,0.0
66650,A Grade Education and Training Pty Limited,3,0.0,0.0,33.3,0.0,1,,,,0,,0.0,0,,,,0.0,5,Aged Care Worker | Community Worker | Child Carer | Early Childhood Educator | Training Officer,Community & Personal Service,92.3,0.0,92.3,0.0,7.7
84600,A-OK Training Pty Ltd,7,0.0,0.0,0.0,0.0,0,135.0,55.0,300.0,0,,0.0,0,,,,0.0,4,Occupational Health and Safety Officer | Nurse - Registered | Paramedic | Therapy Aide,Professionals,60.0,0.0,100.0,0.0,0.0
76732,A.B. Paterson College,3,0.0,0.0,0.0,100.0,0,,,,0,,0.0,0,,,,0.0,0,,,,,,,
85957,A2 Education Pty Ltd,2,0.0,0.0,50.0,0.0,1,24000.0,24000.0,24000.0,0,,0.0,0,,,,0.0,4,Engineering Tradesperson - Fabrication | Engineering Tradesperson - Mechanical | Electrician | General Manager,Technicians & Trades,83.3,0.0,0.0,0.0,0.0
86217,AA ACADEMY,9,0.0,0.0,22.2,0.0,2,6400.0,3950.0,8500.0,0,,0.0,0,,,,0.0,12,Community Worker | Aged Care Worker | Disability Support Worker | Rehabilitation Counsellor | General Manager,Community & Personal Service,53.8,0.0,57.7,0.0,3.8
67083,AAAR INSTITUTE OF BUSINESS AND TECHNOLOGY,6,0.0,0.0,16.7,0.0,1,,,,0,5.5,66.7,0,,,,0.0,10,Community Worker | Aged Care Worker | Civil and Structural Engineering Associate | General Manager | Information Technology Support Technician,Community & Personal Service,60.0,17.6,52.9,0.0,5.9
13294,AAMC Training Group Pty Ltd,2,0.0,0.0,0.0,0.0,0,797.0,597.0,997.0,0,,0.0,0,,,,0.0,0,,,,,,,
85164,ABBI Educational Services Pty Ltd,13,0.0,0.0,7.7,0.0,1,,,,0,,0.0,0,,,,0.0,15,Community Worker | Aged Care Worker | Child Carer | Early Childhood Educator | Chef,Community & Personal Service,63.6,8.3,58.3,0.0,8.3
11293,ABC Training and Consulting,1,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,1,Manufacturer,Managers,100.0,0.0,0.0,0.0,100.0
67096,ABLE ASSESSMENTS AND TRAINING SERVICES AUSTRALIA PTY LTD,3,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,3,Carpenter | Painter and Decorator | Tiler - Wall and Floor,Technicians & Trades,100.0,0.0,0.0,0.0,0.0
12314,ABS Institute of Management,2,0.0,0.0,0.0,0.0,0,3700.0,3550.0,3850.0,0,,0.0,0,,,,0.0,1,Entrepreneur,,,0.0,0.0,0.0,0.0
67389,ACADEMY OF ENTREPRENEURS PTY. LTD.,2,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,1,Office Administrator,Clerical & Administrative,100.0,0.0,0.0,0.0,0.0
10158,ACAP University College,23,39.1,56.5,4.3,0.0,1,37924.0,9800.0,85794.0,0,6.5,13.0,0,,,,0.0,11,Psychologist | Counsellor | Social Worker | Welfare Worker | Youth Worker,Professionals,82.6,0.0,17.4,0.0,0.0
85482,ACBT Education Pty Ltd,12,0.0,0.0,8.3,0.0,1,,,,0,,0.0,0,,,,0.0,10,Motor Mechanic - Car | Automotive Electrician | Heavy Vehicle Motor Mechanic | Panel Beater | Chef,Technicians & Trades,85.7,0.0,0.0,0.0,4.8
12174,ACE Community Colleges Ltd,6,0.0,0.0,83.3,0.0,2,,,,0,,0.0,0,,,,0.0,8,Training Officer | Recreation Officer | Disability Services Instructor | Education Aide | Health Promotion Practitioner,Professionals,68.4,0.0,36.8,0.0,31.6
66401,ACOD,2,0.0,0.0,50.0,0.0,1,2320.0,2320.0,2320.0,0,,0.0,0,,,,0.0,2,Optical Dispenser | Training Officer,Technicians & Trades,66.7,0.0,0.0,0.0,33.3
12101,ACP Training,6,0.0,0.0,66.7,0.0,1,2730.0,233.0,4199.0,0,0.0,100.0,0,,,,0.0,4,Sales Assistant | Pharmacist | Dispensary Assistant | Training Officer,Professionals,43.8,18.8,31.2,0.0,12.5
13809,AD1 College,1,0.0,0.0,0.0,0.0,0,1500.0,1500.0,1500.0,0,,0.0,0,,,,0.0,1,Entrepreneur,,,0.0,0.0,0.0,0.0
66223,ADELAIDE INSTITUTE OF HAIR & BEAUTY PTY LTD,2,0.0,0.0,50.0,0.0,1,,,,0,,0.0,0,,,,0.0,3,Hairdresser | Hair and Beauty Salon Assistant | Trichologist,Technicians & Trades,68.4,0.0,0.0,0.0,0.0
12847,AGA Employment and Training Services,9,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,7,Electrician | Automotive Electrician | Builder | Business Systems Analyst | Carpenter,Technicians & Trades,75.0,12.5,0.0,0.0,12.5
86482,AGRICULTURE EDUCATION INSTITUTE OF AUSTRALIA PTY LTD,3,0.0,0.0,0.0,0.0,0,,,,0,5.5,100.0,0,,,,0.0,1,Farmer,Managers,100.0,0.0,0.0,0.0,0.0
16314,AH & B College,3,0.0,0.0,66.7,0.0,1,,,,0,,0.0,0,,,,0.0,3,Hairdresser | Trichologist | Hair and Beauty Salon Assistant,Technicians & Trades,79.3,0.0,0.0,0.0,0.0
85379,AIBI Higher Education,6,50.0,50.0,0.0,0.0,0,,,,0,0.0,100.0,0,,,,0.0,1,Cyber Security Specialist,,,0.0,0.0,0.0,0.0
85161,AIBTE,8,0.0,0.0,0.0,0.0,0,8500.0,8500.0,8500.0,0,6.0,37.5,0,,,,0.0,8,Information Technology Support Technician | Site Reliability Engineer | Office Administrator | Platform Engineer | Technical Program Manager,Technicians & Trades,37.5,26.7,13.3,0.0,0.0
86225,AICHM,9,0.0,0.0,11.1,0.0,1,12361.0,100.0,25000.0,0,,0.0,0,,,,0.0,7,Community Worker | Child Carer | Early Childhood Educator | Disability Support Worker | General Manager,Community & Personal Service,87.5,0.0,93.8,0.0,0.0
85904,AIE Institute Limited,3,100.0,0.0,0.0,0.0,0,92183.0,92182.74,92182.74,0,0.0,100.0,0,,,,0.0,0,,,,,,,
85024,AIMS TRAINING AND EDUCATION PTY LTD,7,0.0,14.3,0.0,0.0,1,581.0,49.0,1600.0,0,,0.0,0,,,,0.0,5,Occupational Health and Safety Officer | Nurse - Registered | Office Administrator | Paramedic | Safety Inspector,Professionals,62.5,12.5,75.0,0.0,0.0
68060,AIO Training Pty Ltd,2,0.0,0.0,0.0,0.0,0,8000.0,8000.0,8000.0,0,,0.0,0,,,,0.0,2,Child Carer | Early Childhood Educator,Community & Personal Service,100.0,0.0,100.0,0.0,0.0
13159,AIWT,16,0.0,6.2,25.0,0.0,2,,,,0,0.75,100.0,0,,,,0.0,11,Community Worker | Occupational Health and Safety Officer | Safety Inspector | Child Carer | Early Childhood Educator,Community & Personal Service,46.2,11.5,65.4,0.0,3.8
86507,"AKAL ACADEMY, AKAL TRANSPORT TRAINING",1,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,3,Information Technology Support Technician | Site Reliability Engineer | Technical Program Manager,Technicians & Trades,100.0,33.3,0.0,0.0,0.0
13396,"ALACC Health College, Australia",27,0.0,3.7,40.7,0.0,3,4138.0,995.0,6135.0,0,5.5,11.1,0,,,,0.0,35,Community Worker | Disability Support Worker | Rehabilitation Counsellor | Medical Laboratory Technician | Health Promotion Practitioner,Community & Personal Service,48.1,16.7,61.1,0.0,2.8
85771,ALBERT EDUCATION AND TRAINING,2,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,1,Disability Support Worker,Community & Personal Service,100.0,0.0,100.0,0.0,0.0
85774,ALLIED HEALTH INSTITUTE PTY LTD,2,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,2,Occupational Health and Safety Officer | Paramedic,Community & Personal Service,50.0,0.0,100.0,0.0,0.0
67193,ALPHA TRAINING & RECOGNITION PTY LTD,3,0.0,0.0,33.3,0.0,1,,,,0,,0.0,0,,,,0.0,3,Engineering Tradesperson - Mechanical | Engineering Tradesperson - Fabrication | Trade Measurement Officer,Technicians & Trades,75.0,0.0,0.0,0.0,0.0
57,AMES Australia,11,0.0,0.0,18.2,0.0,1,7684.0,3485.0,19100.0,0,,0.0,0,,,,0.0,2,Child Carer | Early Childhood Educator,Community & Personal Service,100.0,0.0,100.0,0.0,0.0
17986,AMZ Training Organisation,5,0.0,0.0,60.0,0.0,2,7167.0,4500.0,8500.0,0,,0.0,0,,,,0.0,12,Education Officer | Community Worker | Disability Support Worker | Aged Care Worker | Disability Services Instructor,Professionals,62.2,0.0,39.0,0.0,51.2
86234,ANT COLLEGE PTY LTD,4,0.0,0.0,0.0,0.0,0,,,,0,6.12,100.0,0,,,,0.0,6,General Manager | Information Technology Support Technician | Office Administrator | Platform Engineer | Site Reliability Engineer,Managers,50.0,14.3,0.0,0.0,0.0
12839,AOI Institute,7,0.0,0.0,28.6,0.0,1,,,,0,5.5,71.4,0,,,,0.0,8,Tourist Information Officer | Tour Guide | Marketing Officer | Museum Attendant | Travel Consultant,Community & Personal Service,78.8,3.0,0.0,0.0,15.2
86490,APEX AIM PTY LTD,4,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,4,Civil Engineer | Civil and Structural Engineering Associate | General Manager | Office Administrator,Managers,25.0,50.0,0.0,0.0,0.0
86196,APEX Learning and Development,2,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,1,Sports Coach,Community & Personal Service,100.0,0.0,0.0,0.0,0.0
165,ARA Retail Institute,2,0.0,0.0,100.0,0.0,2,3150.0,3000.0,3300.0,0,,0.0,0,,,,0.0,6,Sales Assistant | Technical Sales Representative | Sales Representative | Retail Buyer | Retail Manager,Sales Workers,55.2,0.0,0.0,0.0,34.5
66741,ARC Training,1,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,0,,,,,,,
66098,ARO Educational Services Pty Ltd,4,0.0,0.0,0.0,0.0,0,17616.0,12516.0,22946.0,0,,0.0,0,,,,0.0,0,,,,,,,
86361,AROHA COLLEGE PTY LTD,4,0.0,0.0,0.0,0.0,0,,,,0,6.0,25.0,0,,,,0.0,3,Nurse - Registered | Occupational Health and Safety Officer | Paramedic,Professionals,66.7,0.0,100.0,0.0,0.0
85928,ASA Institute of Higher Education,7,57.1,42.9,0.0,0.0,0,,,,0,,0.0,2,55.0,65.0,60.0,0.0,0,,,,,,,
12424,ASC Training & Development,1,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,1,General Manager,Managers,100.0,0.0,0.0,0.0,0.0
86264,ASHFORD COLLEGE PTY LTD,8,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,7,Cabinetmaker | Carpenter | Chef | Construction Manager | Cook,Technicians & Trades,71.4,0.0,0.0,0.0,14.3
67213,ASMI COLLEGE,3,0.0,0.0,0.0,0.0,0,,,,0,5.5,100.0,0,,,,0.0,2,General Manager | Office Administrator,Managers,66.7,0.0,0.0,0.0,0.0
13556,ASTRA Group Services Pty Ltd,10,0.0,0.0,20.0,0.0,1,1002.0,150.0,1950.0,0,,0.0,0,,,,0.0,7,Construction Manager | Insurance Officer | Occupational Health and Safety Officer | Police Officer - Australian Federal Police | Civil Construction Worker,Managers,30.8,0.0,15.4,0.0,53.8
10268,ATEC - Adelaide Training and Employment Centre,2,0.0,0.0,100.0,0.0,1,,,,0,,0.0,0,,,,0.0,15,Boiler Attendant | Metal Press Operator | Metal Trades Assistant | Training Officer | Electrical Engineering Associate,Machine Operators & Drivers,56.2,25.0,0.0,0.0,12.5
65817,ATI-Mirage,2,0.0,0.0,0.0,0.0,0,,,,0,,0.0,0,,,,0.0,2,Occupational Health and Safety Officer | Sales Representative,Professionals,50.0,0.0,50.0,0.0,0.0
85327,ATLAS EDUCATION PTY LTD,9,0.0,0.0,0.0,0.0,0,,,,0,6.0,55.6,0,,,,0.0,8,Bricklayer | Cabinetmaker | Chef | Construction Manager | Cook,Technicians & Trades,87.5,0.0,0.0,0.0,12.5
