id,name,school_type,state,web_address,has_destinations,has_naplan
68522,All Hallows' School,Combined School - Catholic,N/A,www.ahs.qld.edu.au,No,Yes
72529,All Saints Catholic College,Combined School - Catholic,N/A,www.ascc.nsw.edu.au,Yes,Yes
76253,Ambrose Treacy College,Combined School - Catholic,N/A,www.atc.qld.edu.au,No,Yes
68318,Antonine College,Combined School - Catholic,N/A,www.antonine.catholic.edu.au,Yes,Yes
76767,Aquinas College,Combined School - Catholic,N/A,www.aquinas.wa.edu.au,No,Yes
76582,Assisi Catholic College,Combined School - Catholic,N/A,www.assisi.qld.edu.au,No,Yes
73291,Blackfriars Priory School,Combined School - Catholic,N/A,www.blackfriars.sa.edu.au/,No,Yes
69581,Caritas College,Combined School - Catholic,N/A,www.cc.catholic.edu.au,No,Yes
73409,Christ the King Catholic School,Combined School - Catholic,N/A,www.djarlom.wa.edu.au,No,Yes
75806,Christian Brothers College,Combined School - Catholic,N/A,www.cbc.sa.edu.au,No,Yes
72466,Christian Brothers High School,Combined School - Catholic,N/A,www.cbhslewisham.nsw.edu.au,Yes,Yes
69893,Columba Catholic College,Combined School - Catholic,N/A,www.columba.catholic.edu.au,No,Yes
75730,Corpus Christi College,Combined School - Catholic,N/A,www.corpus.wa.edu.au,No,Yes
68469,De La Salle College,Combined School - Catholic,N/A,www.delasalle.vic.edu.au,Yes,Yes
75314,Dominic College,Combined School - Catholic,N/A,www.dominic.tas.edu.au,No,Yes
71952,Edmund Rice College,Combined School - Catholic,N/A,www.erc.wa.edu.au/,No,Yes
73508,Emmaus College,Combined School - Catholic,N/A,www.emmausjimboomba.qld.edu.au/,No,Yes
76925,Good Samaritan Catholic College,Combined School - Catholic,N/A,www.goodsamaritan.qld.edu.au/Pages/default.aspx,No,Yes
72605,Holy Cross College,Combined School - Catholic,N/A,www.holycross.wa.edu.au/,No,Yes
72895,Holy Trinity School,Combined School - Catholic,N/A,www.holytrinity.nsw.edu.au,Yes,Yes
68453,Iona College,Combined School - Catholic,N/A,www.iona.qld.edu.au,No,Yes
77171,Iona Presentation College,Combined School - Catholic,N/A,www.iona.wa.edu.au,No,Yes
76223,John Pujajangka Piyirn School,Combined School - Catholic,N/A,www.jppmulan.wa.edu.au,Yes,Yes
69847,John XXIII Catholic Primary School and St Mark's Catholic College,Combined School - Catholic,N/A,www.clcstanhope.catholic.edu.au,Yes,Yes
73708,John XXIII College,Combined School - Catholic,N/A,www.johnxxiii.edu.au,No,Yes
71574,Kearnan College,Combined School - Catholic,N/A,www.kearnan.wa.edu.au,No,Yes
75393,Kolbe Catholic College,Combined School - Catholic,N/A,www.kolbe.wa.edu.au/,No,Yes
69350,Kururrungku Catholic Education Centre,Combined School - Catholic,N/A,www.kururrungku.wa.edu.au/,Yes,Yes
73856,Loreto College,Combined School - Catholic,N/A,www.loreto.sa.edu.au,No,Yes
71213,Loreto Kirribilli,Combined School - Catholic,N/A,www.loreto.nsw.edu.au,Yes,Yes
75870,Loreto Normanhurst,Combined School - Catholic,N/A,www.loretonh.nsw.edu.au,Yes,Yes
76545,Ltyentye Apurte Catholic School,Combined School - Catholic,N/A,www.lacecnt.catholic.edu.au,No,Yes
68829,Lumen Christi Catholic College,Combined School - Catholic,N/A,www.lumen.nsw.edu.au,Yes,Yes
75682,Luurnpa Catholic School,Combined School - Catholic,N/A,www.luurnpa.wa.edu.au/,No,Yes
72593,MacKillop Catholic College,Combined School - Catholic,N/A,www.mccwdbb.catholic.edu.au,Yes,Yes
76295,Mandurah Catholic College,Combined School - Catholic,N/A,www.mcc.wa.edu.au,No,Yes
73588,Marist College Ashgrove,Combined School - Catholic,N/A,www.marash.qld.edu.au,No,Yes
72386,Marist College Bendigo,Combined School - Catholic,N/A,www.marist.vic.edu.au,Yes,Yes
70329,Marist Regional College,Combined School - Catholic,N/A,www.mrc.tas.edu.au,No,Yes
72738,Maronite College of the Holy Family,Combined School - Catholic,N/A,www.mchf.nsw.edu.au,Yes,Yes
72701,Mary MacKillop Catholic College,Combined School - Catholic,N/A,www.highfields.catholic.edu.au,No,Yes
71490,Marymede Catholic College,Combined School - Catholic,N/A,www.marymede.vic.edu.au,Yes,Yes
74242,McAuley Catholic Central School,Combined School - Catholic,N/A,www.mcauleytumut.nsw.edu.au,Yes,Yes
68918,Mercedes College,Combined School - Catholic,N/A,www.mercedes.catholic.edu.au,No,Yes
73217,Mercy College,Combined School - Catholic,N/A,www.mercy.wa.edu.au/,No,Yes
