organisation_id,name,state,org_type,suburb,postcode,latitude,longitude
12164,Academy of Interactive Entertainment (AIE),ACT,Higher Education Institutions,WATSON,2602,-35.240391,149.150289
85904,AIE Institute Limited,ACT,Higher Education Institutions,Watson,2602,-35.239830474341524,149.14936327776377
188,The Australian National University (ANU),ACT,University/Higher Education Institution,CANBERRA,2600,-35.2778381,149.1207986
191,University of Canberra,ACT,University/Higher Education Institution,Bruce,2617,-35.2385258,149.0902309
11709,UNSW Canberra at the Australian Defence Force Academy (UNSW Canberra at ADFA),ACT,Higher Education Institutions,CAMPBELL,2612,-35.2926761,149.1617344
85956,Wentworth Institute of Higher Education Pty Ltd,ACT,Higher Education Institutions,Canberra,2601,-35.27620773265868,149.127967045242
12613,Academy of Interactive Technology Pty Ltd,NSW,Higher Education Institutions,ULTIMO,2007,-33.8819583,151.1954008
11817,Academy of Music and Performing Arts,NSW,Higher Education Institutions,SURRY HILLS,2010,-33.8872468,151.2069202
85379,AIBI Higher Education,NSW,Higher Education Institutions,Haymarket,2000,-33.8796248,151.2067721
11313,Alphacrucis College,NSW,Higher Education Institutions,PARRAMATTA,2150,-33.820642,151.0070671
67464,Apex Australia Higher Education,NSW,Higher Education Institutions,Parramatta,2150,-33.810854939804706,151.00673028003138
66823,Apex Institute of Education,NSW,Higher Education Institutions,PARRAMATTA,2150,-33.810853678619736,151.0067330717667
16511,APM College of Business and Communication,NSW,Higher Education Institutions,SYDNEY,2000,-33.8578511,151.2094428
85928,ASA Institute of Higher Education,NSW,Higher Education Institutions,Sydney,2000,-33.877510457053525,151.20978995247515
13319,Asia Pacific International College,NSW,Higher Education Institutions,Parramatta,2150,-33.8857662,151.2024353
85901,Astra Institute of Higher Education,NSW,Higher Education Institutions,Parramatta,2150,-33.818993800674384,151.00572644368262
16891,Australasian College of Health and Wellness,NSW,Higher Education Institutions,Sydney,2000,-33.8797413,151.1943336
232,Australasian College of Natural Therapies,NSW,Higher Education Institutions,PYRMONT,2009,-33.8734541,151.1969
85905,Australia Advance Education Group Pty Ltd,NSW,Higher Education Institutions,Sydney,2000,-33.87597560819474,151.20844067055103
12874,Australian College of Christian Studies,NSW,Higher Education Institutions,MIRANDA,2228,-34.0233286,151.1060435
66798,Australian College of Christian Studies (ACCS),NSW,Higher Education Institutions,BURWOOD,2134,-33.8761314,151.1053236
11312,Australian College of Ministries,NSW,Higher Education Institutions,RHODES,2138,-33.8333003,151.0859621
11814,Australian College of Nursing,NSW,Higher Education Institutions,PARRAMATTA,2150,-33.819279,151.0050207
11456,Australian College of Physical Education (ACPE),NSW,Higher Education Institutions,SYDNEY OLYMPIC PARK,2127,-33.845148,151.0748847
202,Australian Film Television and Radio School (AFTRS),NSW,Higher Education Institutions,MOORE PARK,2021,-33.8945493,151.2272188
13850,Australian Institute of Higher Education,NSW,Higher Education Institutions,SYDNEY,2000,-33.8796324,151.2066358
70033,Australian Institute of Music,NSW,Higher Education Institutions,Surry Hills,2010,-33.8838709,151.2069622
10376,"Australian Institute of Music (AIM), The",NSW,Higher Education Institutions,SURRY HILLS,2010,-33.8839246,151.2089883
86172,Australian Institute of Police Management,NSW,Higher Education Institutions,Manly,2095,-33.80932954434921,151.29136311898722
85927,Australian Institute of Technology and Commerce Pty Ltd,NSW,Higher Education Institutions,Haymarket,2000,-33.88108189091022,151.20323175037248
13725,Australian National Institute of Management and Commerce (IMC),NSW,Higher Education Institutions,Eveleigh,2015,-33.8967403,151.1959406
85075,Australian Polytechnic Institute Pty Ltd,NSW,Higher Education Institutions,Sydney,2000,-33.87597885136225,151.2084413058082
12693,Australian University of Theology,NSW,University/Higher Education Institution,Sydney,2000,-33.866030242458216,151.20545245231278
203,Avondale University,NSW,University/Higher Education Institution,COORANBONG,2265,-33.0871163,151.4613454
86170,BBI The Australian Institute of Theological Education,NSW,Higher Education Institutions,Pennant Hills,2120,-33.73975647682586,151.06900047688524
