university_id,university,career_id,career,course_count,avg_probability
86329,Adelaide University,62,Research Officer,25,
86329,Adelaide University,2069,Data Analyst,24,
86329,Adelaide University,2064,Entrepreneur,16,
86329,Adelaide University,635,Policy Analyst,16,
86329,Adelaide University,66,Management Consultant,16,
86329,Adelaide University,40,Journalist,13,
86329,Adelaide University,124,Biochemist,12,
86329,Adelaide University,196,Interpreter,11,
86329,Adelaide University,2078,Data Scientist,11,
86329,Adelaide University,145,Teacher - Music,10,
86329,Adelaide University,179,Business Systems Analyst,10,
86329,Adelaide University,92,Urban and Regional Planner,9,
86329,Adelaide University,193,Psychologist,9,
86329,Adelaide University,47,Human Resources Officer,8,
86329,Adelaide University,654,Intelligence Analyst,8,
86329,Adelaide University,61,Economist,8,
86329,Adelaide University,116,Chemist,8,
86329,Adelaide University,2059,Sustainability Specialist,8,
86329,Adelaide University,18,Arts Administrator,8,
86329,Adelaide University,125,Biotechnologist,8,
86329,Adelaide University,2077,Cyber Security Specialist,8,
86329,Adelaide University,633,Research and Development Manager,7,
86329,Adelaide University,130,Forensic Scientist,7,
86329,Adelaide University,36,Writer,7,
86329,Adelaide University,43,Accountant,7,
86329,Adelaide University,206,Social Worker,7,
86329,Adelaide University,197,Translator,7,
86329,Adelaide University,128,Microbiologist,7,
86329,Adelaide University,71,Marketing Officer,7,
86329,Adelaide University,72,Public Relations Officer,6,
86329,Adelaide University,90,Web Developer,6,
86329,Adelaide University,656,Sustainability Officer,6,
86329,Adelaide University,201,Criminologist,6,
86329,Adelaide University,2083,Solicitor,6,
86329,Adelaide University,541,Financial Planner,6,
86329,Adelaide University,2082,Barrister,6,
86329,Adelaide University,139,Physicist,6,
86329,Adelaide University,423,Law Clerk,5,
86329,Adelaide University,2086,Technical Program Manager,5,
86329,Adelaide University,111,Environmental Engineer,5,
86329,Adelaide University,88,Graphic Designer,5,
86329,Adelaide University,2061,UI/UX Designer,5,
86329,Adelaide University,2044,Social Media Manager,5,
86329,Adelaide University,30,Musician,5,
86329,Adelaide University,353,Youth Worker,5,
86329,Adelaide University,2052,Climate Change Analyst,5,
