organisation_id,name,org_type,state,suburb,postcode,latitude,longitude,sa2_code,sa2_name,sa3_code,sa3_name,lga_code,lga_name,median_rent_weekly,youth_pct,overseas_born_pct,seifa_irsad_score,seifa_irsad_decile,seifa_label,sunshine_hours_yr,car_jail_score,car_free_commute_pct,wfh_pct,pedal_path_pct,night_economy_pct,knowledge_worker_pct,student_bubble_pct,renter_republic_pct,vertical_city_pct,housing_stress_ratio,fresh_energy_pct,community_glue_pct,non_english_home_pct,global_mix_score,car_jail_score_norm,car_free_commute_pct_norm,wfh_pct_norm,pedal_path_pct_norm,night_economy_pct_norm,knowledge_worker_pct_norm,student_bubble_pct_norm,renter_republic_pct_norm,vertical_city_pct_norm,housing_stress_ratio_norm,fresh_energy_pct_norm,community_glue_pct_norm,global_mix_score_norm,qualification_density,grad_capture_rate,professional_job_pct,stem_field_pct,income_growth_signal,employment_rate,mortgage_stress_pct,qualification_density_norm,grad_capture_rate_norm,professional_job_pct_norm,stem_field_pct_norm,income_growth_signal_norm,employment_rate_norm,mortgage_stress_pct_norm,social_scene_score,food_scene_pct,entertainment_pct,healthcare_access_pct,education_hub_pct,retail_density_pct,civic_services_pct,knowledge_hub_pct,job_gravity_ratio,social_scene_score_norm,food_scene_pct_norm,entertainment_pct_norm,healthcare_access_pct_norm,education_hub_pct_norm,retail_density_pct_norm,civic_services_pct_norm,knowledge_hub_pct_norm,job_gravity_ratio_norm,uni_town_index,just_one_more_degree,low_income_youth_pct,sharehouse_capital,bank_of_mum_and_dad,peter_pan_index,adulting_score,dink_potential,singles_scene,first_job_energy,side_hustle_generation,promotion_pipeline,startup_dreamer_density,uni_town_index_norm,low_income_youth_pct_norm,sharehouse_capital_norm,first_job_energy_norm,side_hustle_generation_norm,promotion_pipeline_norm,startup_dreamer_density_norm,bank_of_mum_and_dad_norm,peter_pan_index_norm,adulting_score_norm,singles_scene_norm,dink_potential_norm,just_one_more_degree_norm,ramen_economy_score,ramen_economy_score_norm,delayed_adulting_score,delayed_adulting_score_norm,all_nighter_index,all_nighter_index_norm,rent_forever_index,rent_forever_index_norm,nightlife_index,nightlife_index_norm,digital_nomad_potential,digital_nomad_potential_norm,flat_white_density,flat_white_density_norm,global_youth_hub,global_youth_hub_norm
12164,Academy of Interactive Entertainment (AIE),Higher Education Institutions,ACT,WATSON,2602.0,-35.240391,149.150289,801051061,Watson,80105.0,North Canberra,89399.0,Unincorporated ACT,437.0,11.3,12.9,1110.0,9.0,Established & Affluent,1977.0,5.3,42.3,12.9,6.7,8.2,35.3,12.8,33.4,12.3,32.3,22.1,23.8,12.9,12.9,5.3,42.3,12.9,6.7,8.2,35.3,12.8,33.4,12.3,32.3,22.1,23.8,12.9,71.5,68.5,58.3,37.4,47.5,73.1,20.7,71.5,68.5,58.3,37.4,47.5,73.1,20.7,10.2,8.3,2.0,13.1,31.6,5.9,1.5,10.4,0.514,10.2,8.3,2.0,13.1,31.6,5.9,1.5,10.4,30.4,9.9,21.3,45.4,17.6,3.8,2.1,67.9,56.9,71.4,94.3,32.2,53.5,19.3,9.9,45.4,17.6,94.3,32.2,53.5,19.3,3.8,2.1,67.9,71.4,56.9,21.3,30.5,30.5,40.8,40.8,10.5,10.5,25.2,25.2,6.2,6.2,19.5,19.5,12.7,12.7,6.9,6.9
66685,Access Recognised Training Australia,Registered Training Organisation,ACT,Belconnen,2617.0,-35.3079005,149.0974341,801061070,Yarralumla,80106.0,South Canberra,89399.0,Unincorporated ACT,547.0,10.4,15.2,1161.0,10.0,Established & Affluent,1977.0,3.6,36.3,17.3,5.5,6.7,41.5,13.0,23.3,7.5,34.4,16.9,25.7,12.8,14.0,3.6,36.3,17.3,5.5,6.7,41.5,13.0,23.3,7.5,34.4,16.9,25.7,14.0,74.2,61.6,64.7,29.4,58.3,56.2,58.1,74.2,61.6,64.7,29.4,58.3,56.2,58.1,20.4,17.4,2.9,8.6,7.1,4.5,38.4,7.5,2.31,20.4,17.4,2.9,8.6,7.1,4.5,38.4,7.5,52.1,10.8,13.9,64.8,10.3,20.0,11.5,57.1,44.3,81.6,96.6,33.6,53.2,21.2,10.8,64.8,10.3,96.6,33.6,53.2,21.2,20.0,11.5,57.1,81.6,44.3,13.9,33.7,33.7,38.4,38.4,9.8,9.8,19.2,19.2,9.0,9.0,22.1,22.1,15.4,15.4,7.5,7.5
66667,ACT Emergency Services Agency,Registered Training Organisation,ACT,Canberra,2600.0,-35.3794165,149.1719881,801031031,Hume,80103.0,Canberra East,89399.0,Unincorporated ACT,110.0,12.2,2.0,,,,1977.0,0.0,70.0,0.0,40.0,,,0.0,0.0,0.0,15.2,0.0,2.3,0.0,1.0,0.0,70.0,0.0,40.0,,,0.0,0.0,0.0,15.2,0.0,2.3,1.0,34.7,60.7,30.0,0.0,1.1,1.8,,34.7,60.7,30.0,0.0,1.1,1.8,,0.9,0.4,0.5,2.0,0.9,2.2,14.0,3.2,1428.5,0.9,0.4,0.5,2.0,0.9,2.2,14.0,3.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.6,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,69.6,0.0,0.0,0.0,0.0,23.2,23.2,0.0,0.0,0.0,0.0,0.4,0.4,1.6,1.6,1.8,1.8,1.2,1.2
85904,AIE Institute Limited,Higher Education Institutions,ACT,Watson,2602.0,-35.2398304743,149.1493632778,801051061,Watson,80105.0,North Canberra,89399.0,Unincorporated ACT,437.0,11.3,12.9,1110.0,9.0,Established & Affluent,1977.0,5.3,42.3,12.9,6.7,8.2,35.3,12.8,33.4,12.3,32.3,22.1,23.8,12.9,12.9,5.3,42.3,12.9,6.7,8.2,35.3,12.8,33.4,12.3,32.3,22.1,23.8,12.9,71.5,68.5,58.3,37.4,47.5,73.1,20.7,71.5,68.5,58.3,37.4,47.5,73.1,20.7,10.2,8.3,2.0,13.1,31.6,5.9,1.5,10.4,0.514,10.2,8.3,2.0,13.1,31.6,5.9,1.5,10.4,30.4,9.9,21.3,45.4,17.6,3.8,2.1,67.9,56.9,71.4,94.3,32.2,53.5,19.3,9.9,45.4,17.6,94.3,32.2,53.5,19.3,3.8,2.1,67.9,71.4,56.9,21.3,30.5,30.5,40.8,40.8,10.5,10.5,25.2,25.2,6.2,6.2,19.5,19.5,12.7,12.7,6.9,6.9
67049,Alpha Institute,Registered Training Organisation,ACT,BELCONNEN,2617.0,-35.2411858,149.0599794,801011002,Belconnen,80101.0,Belconnen,89399.0,Unincorporated ACT,430.0,18.3,34.0,1058.0,8.0,Up-and-Coming,1977.0,14.0,47.7,8.7,11.7,13.9,34.5,28.6,63.5,74.9,42.6,36.5,14.6,40.0,37.0,14.0,47.7,8.7,11.7,13.9,34.5,28.6,63.5,74.9,42.6,36.5,14.6,37.0,69.8,58.3,43.8,39.4,30.9,69.1,6.3,69.8,58.3,43.8,39.4,30.9,69.1,6.3,9.3,7.7,1.6,8.5,2.1,15.2,28.9,21.4,4.94,9.3,7.7,1.6,8.5,2.1,15.2,28.9,21.4,63.0,24.4,33.5,49.0,15.8,1.0,0.4,70.3,54.4,71.0,92.6,33.1,46.0,15.4,24.4,49.0,15.8,92.6,33.1,46.0,15.4,1.0,0.4,70.3,71.0,54.4,33.5,47.0,47.0,50.1,50.1,21.2,21.2,49.5,49.5,7.7,7.7,21.5,21.5,14.8,14.8,29.7,29.7
66677,Anglicare College,Registered Training Organisation,ACT,HOLT,2615.0,-35.2227751,149.0124506,801011015,Holt,80101.0,Belconnen,89399.0,Unincorporated ACT,396.0,10.3,12.8,1027.0,7.0,Up-and-Coming,1977.0,6.6,28.1,9.9,1.0,8.2,31.6,9.7,27.0,6.9,38.0,16.1,15.2,13.6,13.2,6.6,28.1,9.9,1.0,8.2,31.6,9.7,27.0,6.9,38.0,16.1,15.2,13.2,48.1,76.9,39.9,36.2,35.8,63.4,9.5,48.1,76.9,39.9,36.2,35.8,63.4,9.5,22.9,20.0,2.9,23.5,16.7,13.1,3.7,4.6,0.914,22.9,20.0,2.9,23.5,16.7,13.1,3.7,4.6,38.7,6.8,18.7,46.7,6.8,6.1,3.2,71.3,65.3,64.6,93.6,26.2,41.5,12.6,6.8,46.7,6.8,93.6,26.2,41.5,12.6,6.1,3.2,71.3,64.6,65.3,18.7,27.8,27.8,32.8,32.8,9.0,9.0,20.1,20.1,10.4,10.4,15.4,15.4,12.4,12.4,6.3,6.3
66668,Ascent Training Services Pty Ltd,Registered Training Organisation,ACT,Watson,2602.0,-35.2401906,149.1499613,801051061,Watson,80105.0,North Canberra,89399.0,Unincorporated ACT,437.0,11.3,12.9,1110.0,9.0,Established & Affluent,1977.0,5.3,42.3,12.9,6.7,8.2,35.3,12.8,33.4,12.3,32.3,22.1,23.8,12.9,12.9,5.3,42.3,12.9,6.7,8.2,35.3,12.8,33.4,12.3,32.3,22.1,23.8,12.9,71.5,68.5,58.3,37.4,47.5,73.1,20.7,71.5,68.5,58.3,37.4,47.5,73.1,20.7,10.2,8.3,2.0,13.1,31.6,5.9,1.5,10.4,0.514,10.2,8.3,2.0,13.1,31.6,5.9,1.5,10.4,30.4,9.9,21.3,45.4,17.6,3.8,2.1,67.9,56.9,71.4,94.3,32.2,53.5,19.3,9.9,45.4,17.6,94.3,32.2,53.5,19.3,3.8,2.1,67.9,71.4,56.9,21.3,30.5,30.5,40.8,40.8,10.5,10.5,25.2,25.2,6.2,6.2,19.5,19.5,12.7,12.7,6.9,6.9
66681,Aspen Medical Pty Ltd,Registered Training Organisation,ACT,Deakin,2600.0,-35.3218282,149.0926512,801061062,Deakin,80106.0,South Canberra,89399.0,Unincorporated ACT,560.0,12.3,16.1,1169.0,10.0,Established & Affluent,1977.0,6.7,36.4,15.0,6.1,7.9,41.4,12.4,21.3,13.9,35.5,15.8,25.8,14.2,15.2,6.7,36.4,15.0,6.1,7.9,41.4,12.4,21.3,13.9,35.5,15.8,25.8,15.2,73.5,65.7,66.0,29.2,57.9,59.3,53.7,73.5,65.7,66.0,29.2,57.9,59.3,53.7,5.7,2.1,3.6,37.0,11.4,0.8,8.2,19.0,8.076,5.7,2.1,3.6,37.0,11.4,0.8,8.2,19.0,70.1,10.3,11.6,36.0,12.5,10.8,5.5,54.4,47.2,78.0,94.2,30.6,66.4,22.6,10.3,36.0,12.5,94.2,30.6,66.4,22.6,10.8,5.5,54.4,78.0,47.2,11.6,23.2,23.2,37.3,37.3,10.2,10.2,17.7,17.7,4.5,4.5,25.1,25.1,14.6,14.6,9.4,9.4
68048,Aus Crest Pty Ltd,Registered Training Organisation,ACT,BELCONNEN,2617.0,-35.2411858,149.0599794,801011002,Belconnen,80101.0,Belconnen,89399.0,Unincorporated ACT,430.0,18.3,34.0,1058.0,8.0,Up-and-Coming,1977.0,14.0,47.7,8.7,11.7,13.9,34.5,28.6,63.5,74.9,42.6,36.5,14.6,40.0,37.0,14.0,47.7,8.7,11.7,13.9,34.5,28.6,63.5,74.9,42.6,36.5,14.6,37.0,69.8,58.3,43.8,39.4,30.9,69.1,6.3,69.8,58.3,43.8,39.4,30.9,69.1,6.3,9.3,7.7,1.6,8.5,2.1,15.2,28.9,21.4,4.94,9.3,7.7,1.6,8.5,2.1,15.2,28.9,21.4,63.0,24.4,33.5,49.0,15.8,1.0,0.4,70.3,54.4,71.0,92.6,33.1,46.0,15.4,24.4,49.0,15.8,92.6,33.1,46.0,15.4,1.0,0.4,70.3,71.0,54.4,33.5,47.0,47.0,50.1,50.1,21.2,21.2,49.5,49.5,7.7,7.7,21.5,21.5,14.8,14.8,29.7,29.7
18059,Australasian Beauty Therapy Academy,Registered Training Organisation,ACT,Canberra,2606.0,-35.3523086823,149.0865086256,801091109,Phillip,80109.0,Woden Valley,89399.0,Unincorporated ACT,440.0,11.1,22.2,1085.0,9.0,Established & Affluent,1977.0,9.7,45.2,8.8,14.0,8.5,37.9,13.6,49.5,67.0,32.8,35.8,13.1,31.9,27.0,9.7,45.2,8.8,14.0,8.5,37.9,13.6,49.5,67.0,32.8,35.8,13.1,27.0,69.0,67.3,51.9,31.8,42.2,76.8,6.3,69.0,67.3,51.9,31.8,42.2,76.8,6.3,7.6,6.7,0.9,12.2,2.4,10.8,51.6,5.9,8.038,7.6,6.7,0.9,12.2,2.4,10.8,51.6,5.9,70.1,9.6,34.3,20.1,10.9,1.6,0.8,75.8,54.4,64.1,96.0,21.1,52.4,10.4,9.6,20.1,10.9,96.0,21.1,52.4,10.4,1.6,0.8,75.8,64.1,54.4,34.3,27.7,27.7,41.5,41.5,11.0,11.0,35.1,35.1,5.4,5.4,17.5,17.5,7.7,7.7,11.7,11.7
67470,Australian Capital College,Registered Training Organisation,ACT,CANBERRA,2601.0,-35.2801262,149.1253889,801051053,Civic,80105.0,North Canberra,89399.0,Unincorporated ACT,550.0,37.4,34.1,1165.0,10.0,Established & Affluent,1977.0,23.2,70.1,12.2,32.3,15.3,34.7,51.2,61.2,99.6,51.1,43.0,21.1,34.6,34.4,23.2,70.1,12.2,32.3,15.3,34.7,51.2,61.2,99.6,51.1,43.0,21.1,34.4,69.1,52.9,58.8,35.4,39.5,62.5,15.2,69.1,52.9,58.8,35.4,39.5,62.5,15.2,6.9,5.9,1.1,3.6,2.0,4.3,48.8,21.2,25.346,6.9,5.9,1.1,3.6,2.0,4.3,48.8,21.2,86.6,48.7,19.9,85.5,10.8,0.8,0.3,61.4,40.9,89.7,86.5,31.9,70.2,21.9,48.7,85.5,10.8,86.5,31.9,70.2,21.9,0.8,0.3,61.4,89.7,40.9,19.9,66.0,66.0,53.9,53.9,33.2,33.2,57.2,57.2,7.4,7.4,22.7,22.7,16.3,16.3,60.8,60.8
