organisation_id,name,org_type,state,suburb,postcode,latitude,longitude,sa2_code,sa2_name,sa3_code,sa3_name,lga_code,lga_name
12164,Academy of Interactive Entertainment (AIE),Higher Education Institutions,ACT,WATSON,2602.0,-35.240391,149.150289,801051061,Watson,80105,North Canberra,89399,Unincorporated ACT
66685,Access Recognised Training Australia,Registered Training Organisation,ACT,Belconnen,2617.0,-35.3079005,149.0974341,801061070,Yarralumla,80106,South Canberra,89399,Unincorporated ACT
66667,ACT Emergency Services Agency,Registered Training Organisation,ACT,Canberra,2600.0,-35.3794165,149.1719881,801031031,Hume,80103,Canberra East,89399,Unincorporated ACT
85904,AIE Institute Limited,Higher Education Institutions,ACT,Watson,2602.0,-35.2398304743,149.1493632778,801051061,Watson,80105,North Canberra,89399,Unincorporated ACT
67049,Alpha Institute,Registered Training Organisation,ACT,BELCONNEN,2617.0,-35.2411858,149.0599794,801011002,Belconnen,80101,Belconnen,89399,Unincorporated ACT
66677,Anglicare College,Registered Training Organisation,ACT,HOLT,2615.0,-35.2227751,149.0124506,801011015,Holt,80101,Belconnen,89399,Unincorporated ACT
66668,Ascent Training Services Pty Ltd,Registered Training Organisation,ACT,Watson,2602.0,-35.2401906,149.1499613,801051061,Watson,80105,North Canberra,89399,Unincorporated ACT
66681,Aspen Medical Pty Ltd,Registered Training Organisation,ACT,Deakin,2600.0,-35.3218282,149.0926512,801061062,Deakin,80106,South Canberra,89399,Unincorporated ACT
68048,Aus Crest Pty Ltd,Registered Training Organisation,ACT,BELCONNEN,2617.0,-35.2411858,149.0599794,801011002,Belconnen,80101,Belconnen,89399,Unincorporated ACT
18059,Australasian Beauty Therapy Academy,Registered Training Organisation,ACT,Canberra,2606.0,-35.3523086823,149.0865086256,801091109,Phillip,80109,Woden Valley,89399,Unincorporated ACT
67470,Australian Capital College,Registered Training Organisation,ACT,CANBERRA,2601.0,-35.2801262,149.1253889,801051053,Civic,80105,North Canberra,89399,Unincorporated ACT
66486,Australian Capital Training Institute Pty Ltd,Registered Training Organisation,ACT,BRADDON,2612.0,-35.2748167,149.1315791,801051051,Braddon,80105,North Canberra,89399,Unincorporated ACT
12877,Australian Centre for Financial and Environmental Compliance Pty Ltd,Registered Training Organisation,ACT,LYNEHAM,2602.0,-35.252558,149.125497,801051057,Lyneham,80105,North Canberra,89399,Unincorporated ACT
11136,Australian College of Applied Business,Registered Training Organisation,ACT,CANBERRA,2601.0,-35.2761724,149.1278718,801051053,Civic,80105,North Canberra,89399,Unincorporated ACT
66671,Australian College of Pharmacy Limited,Registered Training Organisation,ACT,Fyshwick,2609.0,-35.3311655,149.181703,801061130,Fyshwick,80106,South Canberra,89399,Unincorporated ACT
65787,Australian Federal Police College,Registered Training Organisation,ACT,Barton,2600.0,-35.310394,149.137953,801061129,Barton,80106,South Canberra,89399,Unincorporated ACT
10836,Australian Forensic Services Pty Ltd,Registered Training Organisation,ACT,DEAKIN,2600.0,-35.3153287,149.0975961,801061062,Deakin,80106,South Canberra,89399,Unincorporated ACT
67047,Australian Fraud and Anti-Corruption Academy Pty Ltd,Registered Training Organisation,ACT,LYONS,2606.0,-35.3413344,149.0741558,801091105,Lyons (ACT),80109,Woden Valley,89399,Unincorporated ACT
